# File: FlockThesis/ephem_FlockTLE.dat
#
# Ephemeris generated from TLE input file: C:/Users/jonat/OneDrive/Documents/MATLAB/ThesisCode/SatObs/SGP4_matlab/FlockTLE.txt
# Propagator: Kepler with J2
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re)
59592.98968750,0.16056781,-0.02770623,-1.05417283
59592.98980324,0.15162036,-0.03565879,-1.05525215
59592.98991898,0.14265368,-0.04360687,-1.05619747
59592.99003472,0.13366892,-0.05154944,-1.05700865
59592.99015046,0.12466720,-0.05948550,-1.05768560
59592.99026620,0.11564969,-0.06741404,-1.05822822
59592.99038194,0.10661752,-0.07533405,-1.05863645
59592.99049769,0.09757184,-0.08324453,-1.05891022
59592.99061343,0.08851380,-0.09114447,-1.05904951
59592.99072917,0.07944454,-0.09903287,-1.05905430
59592.99084491,0.07036523,-0.10690873,-1.05892457
59592.99096065,0.06127701,-0.11477104,-1.05866034
59592.99107639,0.05218103,-0.12261881,-1.05826165
59592.99119213,0.04307846,-0.13045104,-1.05772855
59592.99130787,0.03397045,-0.13826674,-1.05706109
59592.99142361,0.02485815,-0.14606491,-1.05625937
59592.99153935,0.01574272,-0.15384455,-1.05532347
59592.99165509,0.00662532,-0.16160470,-1.05425353
59592.99177083,-0.00249289,-0.16934435,-1.05304966
59592.99188657,-0.01161075,-0.17706252,-1.05171203
59592.99200232,-0.02072711,-0.18475823,-1.05024079
59592.99211806,-0.02984081,-0.19243051,-1.04863614
59592.99223380,-0.03895068,-0.20007838,-1.04689828
59592.99234954,-0.04805558,-0.20770087,-1.04502742
59592.99246528,-0.05715435,-0.21529700,-1.04302379
59592.99258102,-0.06624582,-0.22286582,-1.04088766
59592.99269676,-0.07532885,-0.23040635,-1.03861929
59592.99281250,-0.08440228,-0.23791765,-1.03621897
59592.99292824,-0.09346496,-0.24539876,-1.03368700
59592.99304398,-0.10251574,-0.25284873,-1.03102369
59592.99315972,-0.11155346,-0.26026660,-1.02822939
59592.99327546,-0.12057698,-0.26765144,-1.02530445
59592.99339120,-0.12958515,-0.27500231,-1.02224923
59592.99350694,-0.13857683,-0.28231827,-1.01906412
59592.99362269,-0.14755088,-0.28959839,-1.01574953
59592.99373843,-0.15650614,-0.29684175,-1.01230588
59592.99385417,-0.16544149,-0.30404742,-1.00873359
59592.99396991,-0.17435580,-0.31121449,-1.00503312
59592.99408565,-0.18324792,-0.31834205,-1.00120495
59592.99420139,-0.19211672,-0.32542920,-0.99724954
59592.99431713,-0.20096109,-0.33247502,-0.99316741
59592.99443287,-0.20977989,-0.33947862,-0.98895907
59592.99454861,-0.21857201,-0.34643912,-0.98462506
59592.99466435,-0.22733632,-0.35335563,-0.98016591
59592.99478009,-0.23607171,-0.36022726,-0.97558220
59592.99489583,-0.24477708,-0.36705314,-0.97087450
59592.99501157,-0.25345131,-0.37383242,-0.96604342
59592.99512732,-0.26209331,-0.38056421,-0.96108956
59592.99524306,-0.27070197,-0.38724767,-0.95601356
59592.99535880,-0.27927620,-0.39388194,-0.95081605
59592.99547454,-0.28781491,-0.40046619,-0.94549769
59592.99559028,-0.29631701,-0.40699957,-0.94005916
59592.99570602,-0.30478143,-0.41348125,-0.93450115
59592.99582176,-0.31320708,-0.41991041,-0.92882435
59592.99593750,-0.32159289,-0.42628622,-0.92302950
59592.99605324,-0.32993781,-0.43260789,-0.91711732
59592.99616898,-0.33824076,-0.43887459,-0.91108857
59592.99628472,-0.34650070,-0.44508555,-0.90494401
59592.99640046,-0.35471656,-0.45123995,-0.89868441
59592.99651620,-0.36288731,-0.45733703,-0.89231058
59592.99663194,-0.37101191,-0.46337601,-0.88582332
59592.99674769,-0.37908932,-0.46935611,-0.87922344
59592.99686343,-0.38711852,-0.47527657,-0.87251180
59592.99697917,-0.39509848,-0.48113665,-0.86568925
59592.99709491,-0.40302819,-0.48693559,-0.85875663
59592.99721065,-0.41090665,-0.49267265,-0.85171485
59592.99732639,-0.41873284,-0.49834712,-0.84456479
59592.99744213,-0.42650578,-0.50395825,-0.83730735
59592.99755787,-0.43422447,-0.50950535,-0.82994346
59592.99767361,-0.44188793,-0.51498769,-0.82247406
59592.99778935,-0.44949519,-0.52040459,-0.81490008
59592.99790509,-0.45704528,-0.52575536,-0.80722250
59592.99802083,-0.46453725,-0.53103931,-0.79944228
59592.99813657,-0.47197012,-0.53625576,-0.79156042
59592.99825232,-0.47934297,-0.54140407,-0.78357792
59592.99836806,-0.48665485,-0.54648356,-0.77549578
59592.99848380,-0.49390483,-0.55149359,-0.76731504
59592.99859954,-0.50109199,-0.55643352,-0.75903673
59592.99871528,-0.50821542,-0.56130274,-0.75066191
59592.99883102,-0.51527420,-0.56610060,-0.74219163
59592.99894676,-0.52226745,-0.57082651,-0.73362698
59592.99906250,-0.52919426,-0.57547985,-0.72496904
59592.99917824,-0.53605377,-0.58006004,-0.71621891
59592.99929398,-0.54284509,-0.58456650,-0.70737770
59592.99940972,-0.54956736,-0.58899865,-0.69844654
59592.99952546,-0.55621973,-0.59335592,-0.68942656
59592.99964120,-0.56280134,-0.59763775,-0.68031890
59592.99975694,-0.56931137,-0.60184361,-0.67112473
59592.99987269,-0.57574898,-0.60597296,-0.66184521
59592.99998843,-0.58211336,-0.61002527,-0.65248152
59593.00010417,-0.58840368,-0.61400002,-0.64303484
59593.00021991,-0.59461916,-0.61789670,-0.63350639
59593.00033565,-0.60075900,-0.62171483,-0.62389737
59593.00045139,-0.60682243,-0.62545391,-0.61420900
59593.00056713,-0.61280866,-0.62911346,-0.60444251
59593.00068287,-0.61871693,-0.63269302,-0.59459914
59593.00079861,-0.62454650,-0.63619214,-0.58468015
59593.00091435,-0.63029662,-0.63961036,-0.57468680
59593.00103009,-0.63596656,-0.64294725,-0.56462035
59593.00114583,-0.64155560,-0.64620238,-0.55448209
59593.00126157,-0.64706303,-0.64937535,-0.54427330
59593.00137732,-0.65248814,-0.65246574,-0.53399528
59593.00149306,-0.65783024,-0.65547315,-0.52364934
59593.00160880,-0.66308866,-0.65839722,-0.51323679
59593.00172454,-0.66826273,-0.66123755,-0.50275896
59593.00184028,-0.67335178,-0.66399380,-0.49221718
