# File: FlockThesis/ephem_FlockTLE.dat
#
# Ephemeris generated from TLE input file: C:/Users/jonat/OneDrive/Documents/MATLAB/ThesisCode/SatObs/SGP4_matlab/FlockTLE.txt
# Propagator: SatEph
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re)
56658.52025463,0.53801388,-0.71754471,0.66036561
56658.52037037,0.53244668,-0.71301478,0.66968427
56658.52048611,0.52682018,-0.70840543,0.67892816
56658.52060185,0.52113501,-0.70371720,0.68809623
56658.52071759,0.51539180,-0.69895060,0.69718746
56658.52083333,0.50959118,-0.69410615,0.70620085
56658.52094907,0.50373381,-0.68918441,0.71513538
56658.52106481,0.49782034,-0.68418593,0.72399006
56658.52118056,0.49185143,-0.67911125,0.73276391
56658.52129630,0.48582774,-0.67396095,0.74145594
56658.52141204,0.47974995,-0.66873560,0.75006518
56658.52152778,0.47361873,-0.66343578,0.75859067
56658.52164352,0.46743477,-0.65806209,0.76703147
56658.52175926,0.46119875,-0.65261513,0.77538664
56658.52187500,0.45491137,-0.64709549,0.78365523
56658.52199074,0.44857334,-0.64150381,0.79183633
56658.52210648,0.44218535,-0.63584069,0.79992903
56658.52222222,0.43574812,-0.63010679,0.80793242
56658.52233796,0.42926237,-0.62430272,0.81584562
56658.52245370,0.42272883,-0.61842915,0.82366774
56658.52256944,0.41614821,-0.61248672,0.83139791
56658.52268519,0.40952125,-0.60647610,0.83903527
56658.52280093,0.40284870,-0.60039796,0.84657897
56658.52291667,0.39613129,-0.59425299,0.85402816
56658.52303241,0.38936978,-0.58804185,0.86138202
56658.52314815,0.38256491,-0.58176525,0.86863974
56658.52326389,0.37571745,-0.57542389,0.87580049
56658.52337963,0.36882816,-0.56901847,0.88286348
56658.52349537,0.36189780,-0.56254970,0.88982793
56658.52361111,0.35492715,-0.55601832,0.89669306
56658.52372685,0.34791699,-0.54942504,0.90345811
56658.52384259,0.34086809,-0.54277061,0.91012233
56658.52395833,0.33378125,-0.53605576,0.91668496
56658.52407407,0.32665725,-0.52928125,0.92314529
56658.52418981,0.31949688,-0.52244782,0.92950258
56658.52430556,0.31230095,-0.51555624,0.93575615
56658.52442130,0.30507025,-0.50860728,0.94190528
56658.52453704,0.29780559,-0.50160172,0.94794929
56658.52465278,0.29050778,-0.49454033,0.95388752
56658.52476852,0.28317763,-0.48742390,0.95971930
56658.52488426,0.27581597,-0.48025322,0.96544398
56658.52500000,0.26842359,-0.47302910,0.97106093
56658.52511574,0.26100135,-0.46575233,0.97656952
56658.52523148,0.25355004,-0.45842373,0.98196913
56658.52534722,0.24607052,-0.45104412,0.98725918
56658.52546296,0.23856361,-0.44361432,0.99243906
56658.52557870,0.23103014,-0.43613515,0.99750820
56658.52569444,0.22347096,-0.42860745,1.00246605
56658.52581019,0.21588691,-0.42103206,1.00731204
56658.52592593,0.20827883,-0.41340982,1.01204564
56658.52604167,0.20064756,-0.40574157,1.01666633
56658.52615741,0.19299397,-0.39802819,1.02117358
56658.52627315,0.18531889,-0.39027051,1.02556690
56658.52638889,0.17762319,-0.38246941,1.02984581
56658.52650463,0.16990772,-0.37462576,1.03400981
56658.52662037,0.16217334,-0.36674042,1.03805846
56658.52673611,0.15442091,-0.35881429,1.04199129
56658.52685185,0.14665130,-0.35084823,1.04580788
56658.52696759,0.13886536,-0.34284314,1.04950780
56658.52708333,0.13106396,-0.33479991,1.05309064
56658.52719907,0.12324798,-0.32671943,1.05655600
56658.52731481,0.11541828,-0.31860260,1.05990349
56658.52743056,0.10757574,-0.31045032,1.06313275
56658.52754630,0.09972122,-0.30226352,1.06624341
56658.52766204,0.09185560,-0.29404308,1.06923512
56658.52777778,0.08397976,-0.28578994,1.07210756
56658.52789352,0.07609457,-0.27750500,1.07486041
56658.52800926,0.06820091,-0.26918919,1.07749336
56658.52812500,0.06029966,-0.26084344,1.08000611
56658.52824074,0.05239169,-0.25246867,1.08239839
56658.52835648,0.04447789,-0.24406582,1.08466993
56658.52847222,0.03655914,-0.23563582,1.08682049
56658.52858796,0.02863631,-0.22717961,1.08884981
56658.52870370,0.02071030,-0.21869813,1.09075767
56658.52881944,0.01278197,-0.21019233,1.09254387
56658.52893519,0.00485222,-0.20166314,1.09420820
56658.52905093,-0.00307807,-0.19311152,1.09575048
56658.52916667,-0.01100803,-0.18453842,1.09717053
56658.52928241,-0.01893677,-0.17594480,1.09846821
56658.52939815,-0.02686340,-0.16733161,1.09964335
56658.52951389,-0.03478705,-0.15869981,1.10069584
56658.52962963,-0.04270684,-0.15005035,1.10162555
56658.52974537,-0.05062188,-0.14138421,1.10243239
56658.52986111,-0.05853129,-0.13270234,1.10311625
