Device Name,Shielding,Storm Level,Upset Rate/Bit/Orbit,Probability of Survival/Bit/Mission,Upset Rate/Device/Orbit,Probability of Survival/Device/Mission
Xilinx UltraScale XCKU040 ConfigMem,5,3,9.69E-07,0.999999,0.5139606,0.598122
Xilinx UltraScale XCKU040 BlockRAM,5,3,1.97E-06,0.999998,42.47367,3.58E-19
Xilinx Kintex-7 Config Mem,5,3,1.43E-06,0.9999986,0.4656146,0.6277492
Xilinx Kintex-7 blockRAM,5,3,1.53E-05,0.9999847,244.2837,8.11E-107
UltraScale XQRKU060 Config,5,3,1.22E-06,0.9999988,0.8858659,0.4123569
UltraScale XQRKU060 blockRAM,5,3,2.03E-06,0.999998,76.97542,3.72E-34
Xilinx UltraScale XCKU040 ConfigMem,10,3,1.76E-07,1,0.0935679,0.910676
Xilinx UltraScale XCKU040 BlockRAM,10,3,3.29E-07,1,7.10335,0.000822348
Xilinx Kintex-7 Config Mem,10,3,2.19E-07,1,0.0715528,0.930947
Xilinx Kintex-7 blockRAM,10,3,3.05E-06,0.999997,48.7689,6.61E-22
UltraScale XQRKU060 Config,10,3,2.40E-07,1,0.173804,0.840461
UltraScale XQRKU060 blockRAM,10,3,3.98E-07,1,15.1323,2.68E-07
Xilinx UltraScale XCKU040 ConfigMem,30,3,1.06E-08,1,0.0056228,0.99439
Xilinx UltraScale XCKU040 BlockRAM,30,3,1.77E-08,1,0.38173,0.68268
Xilinx Kintex-7 Config Mem,30,3,1.03E-08,1,0.0033514,0.99665
Xilinx Kintex-7 blockRAM,30,3,2.03E-07,1,3.2459,0.038932
UltraScale XQRKU060 Config,30,3,1.57E-08,1,0.011399,0.98867
UltraScale XQRKU060 blockRAM,30,3,2.61E-08,1,0.99347,0.37029
Xilinx UltraScale XCKU040 ConfigMem,50,3,3.67E-09,1,0.0019474,0.99805
Xilinx UltraScale XCKU040 BlockRAM,50,3,5.79E-09,1,0.12507,0.88244
Xilinx Kintex-7 Config Mem,50,3,3.03E-09,1,0.00098893,0.99901
Xilinx Kintex-7 blockRAM,50,3,7.37E-08,1,1.1786,0.30771
UltraScale XQRKU060 Config,50,3,5.65E-09,1,0.0041026,0.99591
UltraScale XQRKU060 blockRAM,50,3,9.34E-09,1,0.35478,0.70133
Xilinx UltraScale XCKU040 ConfigMem,80,3,1.44E-09,1,0.00076453,0.99924
Xilinx UltraScale XCKU040 BlockRAM,80,3,2.20E-09,1,0.047554,0.95356
Xilinx Kintex-7 Config Mem,80,3,1.07E-09,1,0.00035022,0.99965
Xilinx Kintex-7 blockRAM,80,3,2.97E-08,1,0.47479,0.62202
UltraScale XQRKU060 Config,80,3,2.27E-09,1,0.0016478,0.99835
UltraScale XQRKU060 blockRAM,80,3,3.72E-09,1,0.14129,0.86823
Xilinx UltraScale XCKU040 ConfigMem,100,3,9.36E-10,1,0.00049624,0.9995
Xilinx UltraScale XCKU040 BlockRAM,100,3,1.42E-09,1,0.030742,0.96973
Xilinx Kintex-7 Config Mem,100,3,6.90E-10,1,0.00022485,0.99978
Xilinx Kintex-7 blockRAM,100,3,1.93E-08,1,0.3091,0.73411
UltraScale XQRKU060 Config,100,3,1.48E-09,1,0.0010746,0.99893
UltraScale XQRKU060 blockRAM,100,3,2.42E-09,1,0.091826,0.91226
Xilinx UltraScale XCKU040 ConfigMem,200,3,3.12E-10,1,0.00016532,0.99983
Xilinx UltraScale XCKU040 BlockRAM,200,3,4.75E-10,1,0.010272,0.98978
Xilinx Kintex-7 Config Mem,200,3,2.35E-10,1,7.66E-05,0.99992
Xilinx Kintex-7 blockRAM,200,3,6.41E-09,1,0.10262,0.90247
UltraScale XQRKU060 Config,200,3,4.95E-10,1,0.00035937,0.99964
UltraScale XQRKU060 blockRAM,200,3,8.04E-10,1,0.030548,0.96991
Xilinx UltraScale XCKU040 ConfigMem,300,3,1.81E-10,1,9.60E-05,0.9999
Xilinx UltraScale XCKU040 BlockRAM,300,3,2.79E-10,1,0.006028,0.99399
Xilinx Kintex-7 Config Mem,300,3,1.42E-10,1,4.64E-05,0.99995
Xilinx Kintex-7 blockRAM,300,3,3.69E-09,1,0.05897,0.94274
