# File: FlockThesis/ephem_FlockTLE.dat
#
# Ephemeris generated from TLE input file: C:/Users/jonat/OneDrive/Documents/MATLAB/ThesisCode/SatObs/SGP4_matlab/FlockTLE.txt
# Propagator: SatEph
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re)
55197.52881944,-1.12628855,-0.08265676,0.15769993
55197.52893519,-1.12793994,-0.08137997,0.14626826
55197.52905093,-1.12947417,-0.08009472,0.13482136
55197.52916667,-1.13089107,-0.07880115,0.12336042
55197.52928241,-1.13219050,-0.07749940,0.11188663
55197.52939815,-1.13337233,-0.07618960,0.10040119
55197.52951389,-1.13443645,-0.07487189,0.08890530
55197.52962963,-1.13538275,-0.07354640,0.07740015
55197.52974537,-1.13621112,-0.07221328,0.06588694
55197.52986111,-1.13692150,-0.07087265,0.05436687
55197.52997685,-1.13751380,-0.06952467,0.04284114
55197.53009259,-1.13798798,-0.06816947,0.03131095
55197.53020833,-1.13834399,-0.06680718,0.01977750
55197.53032407,-1.13858180,-0.06543796,0.00824199
55197.53043981,-1.13870138,-0.06406195,-0.00329438
55197.53055556,-1.13870273,-0.06267929,-0.01483041
55197.53067130,-1.13858586,-0.06129011,-0.02636489
55197.53078704,-1.13835077,-0.05989457,-0.03789663
55197.53090278,-1.13799751,-0.05849282,-0.04942443
55197.53101852,-1.13752611,-0.05708499,-0.06094708
55197.53113426,-1.13693664,-0.05567124,-0.07246339
55197.53125000,-1.13622914,-0.05425170,-0.08397216
55197.53136574,-1.13540371,-0.05282654,-0.09547219
55197.53148148,-1.13446044,-0.05139589,-0.10696229
55197.53159722,-1.13339943,-0.04995991,-0.11844126
55197.53171296,-1.13222079,-0.04851874,-0.12990791
55197.53182870,-1.13092466,-0.04707253,-0.14136105
55197.53194444,-1.12951118,-0.04562144,-0.15279947
55197.53206019,-1.12798050,-0.04416561,-0.16422201
55197.53217593,-1.12633278,-0.04270520,-0.17562746
55197.53229167,-1.12456821,-0.04124036,-0.18701465
55197.53240741,-1.12268697,-0.03977124,-0.19838238
55197.53252315,-1.12068926,-0.03829799,-0.20972949
55197.53263889,-1.11857531,-0.03682076,-0.22105478
55197.53275463,-1.11634533,-0.03533972,-0.23235709
55197.53287037,-1.11399956,-0.03385501,-0.24363524
55197.53298611,-1.11153827,-0.03236678,-0.25488806
55197.53310185,-1.10896170,-0.03087520,-0.26611438
55197.53321759,-1.10627013,-0.02938041,-0.27731303
55197.53333333,-1.10346386,-0.02788257,-0.28848286
55197.53344907,-1.10054317,-0.02638184,-0.29962270
55197.53356481,-1.09750839,-0.02487837,-0.31073140
55197.53368056,-1.09435983,-0.02337233,-0.32180781
55197.53379630,-1.09109782,-0.02186385,-0.33285077
55197.53391204,-1.08772272,-0.02035311,-0.34385915
55197.53402778,-1.08423488,-0.01884025,-0.35483179
55197.53414352,-1.08063467,-0.01732544,-0.36576757
55197.53425926,-1.07692247,-0.01580883,-0.37666535
55197.53437500,-1.07309868,-0.01429058,-0.38752400
55197.53449074,-1.06916370,-0.01277084,-0.39834240
55197.53460648,-1.06511795,-0.01124978,-0.40911942
55197.53472222,-1.06096185,-0.00972755,-0.41985395
55197.53483796,-1.05669584,-0.00820431,-0.43054487
55197.53495370,-1.05232038,-0.00668022,-0.44119109
55197.53506944,-1.04783592,-0.00515543,-0.45179150
55197.53518519,-1.04324294,-0.00363010,-0.46234499
55197.53530093,-1.03854193,-0.00210439,-0.47285049
55197.53541667,-1.03373337,-0.00057846,-0.48330690
55197.53553241,-1.02881778,0.00094753,-0.49371314
55197.53564815,-1.02379568,0.00247343,-0.50406814
55197.53576389,-1.01866758,0.00399908,-0.51437082
55197.53587963,-1.01343404,0.00552431,-0.52462012
55197.53599537,-1.00809560,0.00704898,-0.53481499
55197.53611111,-1.00265282,0.00857293,-0.54495436
55197.53622685,-0.99710628,0.01009599,-0.55503719
55197.53634259,-0.99145656,0.01161801,-0.56506244
55197.53645833,-0.98570425,0.01313883,-0.57502908
55197.53657407,-0.97984995,0.01465830,-0.58493607
55197.53668981,-0.97389429,0.01617626,-0.59478240
55197.53680556,-0.96783788,0.01769255,-0.60456704
55197.53692130,-0.96168136,0.01920701,-0.61428899
55197.53703704,-0.95542538,0.02071949,-0.62394725
55197.53715278,-0.94907059,0.02222983,-0.63354081
55197.53726852,-0.94261766,0.02373788,-0.64306870
55197.53738426,-0.93606726,0.02524349,-0.65252993
55197.53750000,-0.92942008,0.02674648,-0.66192352
55197.53761574,-0.92267681,0.02824672,-0.67124851
55197.53773148,-0.91583817,0.02974404,-0.68050393
55197.53784722,-0.90890486,0.03123829,-0.68968884
55197.53796296,-0.90187762,0.03272932,-0.69880228
55197.53807870,-0.89475717,0.03421698,-0.70784333
55197.53819444,-0.88754426,0.03570110,-0.71681104
55197.53831019,-0.88023965,0.03718154,-0.72570451
55197.53842593,-0.87284409,0.03865814,-0.73452280
55197.53854167,-0.86535836,0.04013076,-0.74326503
55197.53865741,-0.85778324,0.04159924,-0.75193028
55197.53877315,-0.85011952,0.04306342,-0.76051766
55197.53888889,-0.84236799,0.04452317,-0.76902631
55197.53900463,-0.83452948,0.04597832,-0.77745533
55197.53912037,-0.82660480,0.04742873,-0.78580387
55197.53923611,-0.81859476,0.04887425,-0.79407107
55197.53935185,-0.81050021,0.05031473,-0.80225608
55197.53946759,-0.80232199,0.05175003,-0.81035806
55197.53958333,-0.79406095,0.05317999,-0.81837618
55197.53969907,-0.78571795,0.05460446,-0.82630961
55197.53981481,-0.77729386,0.05602331,-0.83415755
55197.53993056,-0.76878955,0.05743638,-0.84191919
55197.54004630,-0.76020591,0.05884353,-0.84959373
55197.54016204,-0.75154384,0.06024462,-0.85718039
55197.54027778,-0.74280423,0.06163950,-0.86467838
55197.54039352,-0.73398798,0.06302802,-0.87208695
55197.54050926,-0.72509603,0.06441005,-0.87940534
55197.54062500,-0.71612929,0.06578545,-0.88663279
55197.54074074,-0.70708868,0.06715407,-0.89376856
55197.54085648,-0.69797516,0.06851577,-0.90081193
55197.54097222,-0.68878966,0.06987041,-0.90776217
55197.54108796,-0.67953315,0.07121785,-0.91461857
55197.54120370,-0.67020657,0.07255796,-0.92138044
55197.54131944,-0.66081090,0.07389060,-0.92804708
55197.54143519,-0.65134711,0.07521562,-0.93461781
55197.54155093,-0.64181618,0.07653290,-0.94109196
55197.54166667,-0.63221910,0.07784230,-0.94746887
55197.54178241,-0.62255686,0.07914369,-0.95374788
55197.54189815,-0.61283047,0.08043693,-0.95992836
55197.54201389,-0.60304093,0.08172188,-0.96600967
55197.54212963,-0.59318926,0.08299843,-0.97199120
55197.54224537,-0.58327647,0.08426643,-0.97787233
55197.54236111,-0.57330359,0.08552575,-0.98365246
55197.54247685,-0.56327166,0.08677628,-0.98933101
55197.54259259,-0.55318171,0.08801787,-0.99490739
55197.54270833,-0.54303478,0.08925041,-1.00038105
55197.54282407,-0.53283192,0.09047376,-1.00575141
55197.54293981,-0.52257419,0.09168780,-1.01101793
55197.54305556,-0.51226265,0.09289241,-1.01618008
55197.54317130,-0.50189836,0.09408746,-1.02123733
55197.54328704,-0.49148240,0.09527283,-1.02618916
55197.54340278,-0.48101583,0.09644841,-1.03103508
55197.54351852,-0.47049975,0.09761406,-1.03577459
55197.54363426,-0.45993523,0.09876967,-1.04040720
55197.54375000,-0.44932337,0.09991512,-1.04493244
55197.54386574,-0.43866527,0.10105030,-1.04934986
55197.54398148,-0.42796201,0.10217508,-1.05365901
55197.54409722,-0.41721472,0.10328936,-1.05785944
55197.54421296,-0.40642448,0.10439302,-1.06195074
55197.54432870,-0.39559243,0.10548594,-1.06593247
55197.54444444,-0.38471967,0.10656802,-1.06980425
55197.54456019,-0.37380733,0.10763914,-1.07356568
55197.54467593,-0.36285653,0.10869919,-1.07721637
55197.54479167,-0.35186840,0.10974807,-1.08075596
55197.54490741,-0.34084407,0.11078567,-1.08418409
55197.54502315,-0.32978468,0.11181188,-1.08750040
55197.54513889,-0.31869136,0.11282660,-1.09070456
55197.54525463,-0.30756527,0.11382972,-1.09379625
55197.54537037,-0.29640754,0.11482114,-1.09677515
55197.54548611,-0.28521933,0.11580076,-1.09964097
55197.54560185,-0.27400179,0.11676848,-1.10239340
55197.54571759,-0.26275607,0.11772420,-1.10503218
55197.54583333,-0.25148332,0.11866782,-1.10755704
55197.54594907,-0.24018472,0.11959925,-1.10996771
55197.54606481,-0.22886142,0.12051839,-1.11226396
55197.54618056,-0.21751459,0.12142515,-1.11444555
55197.54629630,-0.20614539,0.12231943,-1.11651227
55197.54641204,-0.19475500,0.12320114,-1.11846390
55197.54652778,-0.18334459,0.12407019,-1.12030024
55197.54664352,-0.17191533,0.12492650,-1.12202112
55197.54675926,-0.16046840,0.12576998,-1.12362635
55197.54687500,-0.14900496,0.12660053,-1.12511578
55197.54699074,-0.13752622,0.12741808,-1.12648926
55197.54710648,-0.12603333,0.12822253,-1.12774664
55197.54722222,-0.11452749,0.12901382,-1.12888781
55197.54733796,-0.10300988,0.12979185,-1.12991264
55197.54745370,-0.09148168,0.13055656,-1.13082103
55197.54756944,-0.07994408,0.13130785,-1.13161290
55197.54768519,-0.06839826,0.13204565,-1.13228816
55197.54780093,-0.05684542,0.13276989,-1.13284674
55197.54791667,-0.04528673,0.13348050,-1.13328860
55197.54803241,-0.03372338,0.13417739,-1.13361368
55197.54814815,-0.02215657,0.13486050,-1.13382195
55197.54826389,-0.01058749,0.13552976,-1.13391340
55197.54837963,0.00098269,0.13618510,-1.13388802
55197.54849537,0.01255276,0.13682645,-1.13374581
55197.54861111,0.02412154,0.13745375,-1.13348678
55197.54872685,0.03568784,0.13806693,-1.13311097
55197.54884259,0.04725047,0.13866594,-1.13261841
55197.54895833,0.05880825,0.13925070,-1.13200916
55197.54907407,0.07035998,0.13982115,-1.13128327
55197.54918981,0.08190448,0.14037725,-1.13044083
55197.54930556,0.09344057,0.14091893,-1.12948191
55197.54942130,0.10496705,0.14144614,-1.12840663
55197.54953704,0.11648274,0.14195881,-1.12721508
55197.54965278,0.12798646,0.14245691,-1.12590740
55197.54976852,0.13947702,0.14294038,-1.12448370
55197.54988426,0.15095326,0.14340916,-1.12294415
55197.55000000,0.16241397,0.14386322,-1.12128890
55197.55011574,0.17385800,0.14430250,-1.11951812
55197.55023148,0.18528415,0.14472695,-1.11763199
55197.55034722,0.19669126,0.14513654,-1.11563069
55197.55046296,0.20807816,0.14553122,-1.11351445
55197.55057870,0.21944367,0.14591096,-1.11128347
55197.55069444,0.23078662,0.14627570,-1.10893797
55197.55081019,0.24210586,0.14662542,-1.10647821
55197.55092593,0.25340020,0.14696008,-1.10390443
55197.55104167,0.26466850,0.14727964,-1.10121690
55197.55115741,0.27590960,0.14758407,-1.09841588
55197.55127315,0.28712233,0.14787334,-1.09550167
55197.55138889,0.29830555,0.14814741,-1.09247456
55197.55150463,0.30945810,0.14840627,-1.08933486
55197.55162037,0.32057883,0.14864987,-1.08608290
55197.55173611,0.33166662,0.14887821,-1.08271900
55197.55185185,0.34272030,0.14909125,-1.07924350
55197.55196759,0.35373874,0.14928896,-1.07565677
55197.55208333,0.36472082,0.14947134,-1.07195916
55197.55219907,0.37566540,0.14963836,-1.06815106
55197.55231481,0.38657135,0.14979000,-1.06423285
55197.55243056,0.39743755,0.14992624,-1.06020494
55197.55254630,0.40826289,0.15004708,-1.05606773
55197.55266204,0.41904623,0.15015250,-1.05182165
55197.55277778,0.42978649,0.15024248,-1.04746713
55197.55289352,0.44048255,0.15031702,-1.04300461
55197.55300926,0.45113330,0.15037611,-1.03843456
55197.55312500,0.46173766,0.15041975,-1.03375743
55197.55324074,0.47229452,0.15044791,-1.02897370
55197.55335648,0.48280280,0.15046062,-1.02408387
55197.55347222,0.49326142,0.15045785,-1.01908843
55197.55358796,0.50366929,0.15043961,-1.01398789
55197.55370370,0.51402536,0.15040591,-1.00878277
55197.55381944,0.52432853,0.15035674,-1.00347361
55197.55393519,0.53457777,0.15029211,-0.99806095
55197.55405093,0.54477200,0.15021202,-0.99254533
55197.55416667,0.55491017,0.15011648,-0.98692733
55197.55428241,0.56499124,0.15000551,-0.98120752
55197.55439815,0.57501418,0.14987911,-0.97538647
55197.55451389,0.58497793,0.14973729,-0.96946480
55197.55462963,0.59488148,0.14958006,-0.96344309
55197.55474537,0.60472380,0.14940745,-0.95732198
55197.55486111,0.61450388,0.14921947,-0.95110207
55197.55497685,0.62422070,0.14901614,-0.94478402
55197.55509259,0.63387326,0.14879747,-0.93836846
55197.55520833,0.64346056,0.14856349,-0.93185605
55197.55532407,0.65298162,0.14831422,-0.92524746
55197.55543981,0.66243544,0.14804969,-0.91854336
55197.55555556,0.67182105,0.14776993,-0.91174444
55197.55567130,0.68113748,0.14747495,-0.90485140
55197.55578704,0.69038377,0.14716480,-0.89786494
55197.55590278,0.69955895,0.14683949,-0.89078577
55197.55601852,0.70866208,0.14649907,-0.88361463
55197.55613426,0.71769222,0.14614356,-0.87635224
55197.55625000,0.72664842,0.14577301,-0.86899935
55197.55636574,0.73552977,0.14538745,-0.86155671
55197.55648148,0.74433534,0.14498692,-0.85402509
55197.55659722,0.75306422,0.14457145,-0.84640525
55197.55671296,0.76171551,0.14414110,-0.83869798
55197.55682870,0.77028830,0.14369590,-0.83090407
55197.55694444,0.77878171,0.14323589,-0.82302432
55197.55706019,0.78719487,0.14276114,-0.81505953
55197.55717593,0.79552688,0.14227167,-0.80701052
55197.55729167,0.80377690,0.14176755,-0.79887812
55197.55740741,0.81194406,0.14124882,-0.79066316
55197.55752315,0.82002752,0.14071553,-0.78236648
55197.55763889,0.82802643,0.14016774,-0.77398894
55197.55775463,0.83593997,0.13960551,-0.76553140
